association, different : critical
expiratory, men : clear
moderate, department : hospital
inflammatory, air : shortness
recognize, airway : pant
reduce, epithelial : coagulation
rate, improve : asthma
check, moderate : daily
define, commonly : small
expiratory, stable : second
article, media : sinus
plan, smoke : written
rate, air : asthma
suggest, low : pressure
inhalation, virus : substance
age, available : adult
greater, effect : quality
occur, severe : asthma
attack, moderate : persistent
symptom, distinguishable : cough
cyclist, number : highest
asthma, flow : rate
epidemiology, reduce : life
base, include : allergen
cause, frequent : history
specifically, asthma : ventilation
free, definition : encyclopedia
section, take : complex
brittle, addition : sudden
world, classification : organization
disappear, factor : pregnancy
lung, section : life
present, article : secretion
widespread, provide : resurgence
allergic, limit : mass
result, cigarette : decrease
include, medication : asthma
asthma, agonist : severe
hospitalize, problem : chemical
adult, selective : hospital
conjunction, example : behavior
muscle, usage : paralysis
world, mean : ancient
helium, fat : fall
include, treatment : symptom
economics, came : selective
perfume, risk : factor
factor, mood : pollution
disease, sign : symptom
impair, age : deficiency
lumen, child : growth
asthma, usual : allergen
higher, north : old
increase, trigger : asthma
full, world : technique
treatment, viral : effective
peak, exercise : trigger
consider, hairdresser : irreversibly
easily, increase : inflammatory
middle, improvement : beneficial
combine, exposure : endotoxin
asthma, aspirin : medication
file, diagnosis : note
include, classic : fever
mild, severe : moderate
recurrent, united : wide
powder, likelihood : provide
frequency, moderate : steroid
bacteria, various : propose
symptom, basis : air
symptom, breath : cough
wall, pet : useful
typically, component : improve
variability, asthma : recurrent
reduce, review : systematic
peak, death : rate
air, become : chest
asthma, small : severe
even, control : greatly
therapy, start : agent
provide, prevent : systematic
exposure, acute : include
therapy, farm : pollution
medication, bacterial : combination
article, health : respiratory
organic, improvement : mite
epinephrine, group : concern
medication, ameliorate : provide
attack, symptom : asthma
exposure, private : smoke
zone, bacterial : genotype
world, explain : early
inhabitant, life : map
found, circa : sensitive
due, precipitate : respond
cause, additional : external
follow, management : perform
admission, healthy : magnesium
breath, age : therapy
routine, attack : particularly
symptom, size : asthma
tissue, standard : culture
diagnosis, yellow : epidemiology
known, red : middle
involve, large : occlude
ethnic, diagnosis : depression
higher, provide : hospital
diagnose, beta : avoid
common, role : dust
annual, private : hospital
avoidance, provide : trigger
medication, medical : provide
due, irritant : older
act, article : observe
treatment, poorly : effective
flow, recognize : peak
exposure, experience : early
morn, people : night
data, air : therapy
mood, show : frequently
include, world : control
known, reference : form
quality, air : pollution
initiative, officially : agree
higher, plan : depression
common, agent : dust
symptom, way : allergen
specifically, complication : pulmonary
appear, avoid : agonist
reduction, lead : oxygen
well, buildup : function
clear, variability : class
approach, asthma : review
appear, cause : symptom
yoga, specific : food
paradoxical, act : neck
hygiene, subject : hypothesis
surround, family : zone
determine, genetic : endotoxin
differentiate, effect : function
medication, primary : stable
asthma, airway : increase
pollution, exercise : air
caffeine, commonly : currently
department, life : quality
reaction, worsen : pattern
shape, media : poor
way, hypothesis : critical
white, treatment : mouth
follow, affect : approximately
decrease, management : smoke
ventilation, wall : alleviate
health, effective : world
diagnosis, allergen : test
ace, alone : vascular
word, asthma : mixture
came, severe : agonist
symptom, animal : rabies
effect, people : control
female, symptom : care
proton, irritant : beta
worse, reversible : variable
volume, file : blocker
helium, yellow : reduction
hyperventilation, airway : breath
medication, universal : combination
case, file : health
exacerbation, asthma : severe
experience, life : associate
insufficient, lung : function
inhabitant, condition : therapeutic
reduce, symptom : asthma
blue, volatile : compound
rate, treatment : asthma
trigger, reduce : exercise
cough, amount : seizure
include, milliliter : supportive
produce, show : cough
asthma, improve : control
system, location : peripheral
severe, component : insufficient
chronic, unit : initiative
kingdom, available : unresponsive
organic, provoke : hygiene
allergen, definition : agree
part, intrinsic : severity
exacerbation, use : severe
associate, serious : standard
result, resemble : support
young, support : twice
cough, medicine : chest
common, world : people
